date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:27	15277/15277	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:38%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayIPScan	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata5b59.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:28	14812/14812	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:39%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayLiveMode	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataaa20.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:28	14793/14793	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:40%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayLoggingState	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadatac680.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:29	14949/14949	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:41%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayLoggingToggle	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata490b.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:29	15636/15636	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:41%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayLogs	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata21d3.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:30	14816/14816	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:43%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNetworkClose	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataff0e.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:31	14862/14862	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:43%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNetworkMaintenance	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata7793.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:31	14796/14796	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:42%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNetworkStatus	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata10da.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:32	14692/14692	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:46%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNotifyAddOrRemoveSensor	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataf749.html	(from http://greencom.azurewebsites.net/api/metadata)
11:40:33	14631/14631	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:44%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=GatewayNotifyBackupCreated	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadataeb95.html	(from http://greencom.azurewebsites.net/api/metadata)
